ID,SKU,GTIN / EAN / UPC,MPN,Product Name (EN),Brand,Model Number,Category,Product Type,Condition,Product Name (AR),Short Description (AR),Key Features (AR) [JSON],Package Contents (AR),Weight (kg),Length (cm),Width (cm),Height (cm),Shipping Class,Dimension Confidence,Country of Origin,HS Code,Voltage,Regular Price (SAR),Sale Price (SAR),Cost Price FOB,Cost Currency,Landed Cost (SAR),MSRP,MAP Price,VAT Rate (%),Price Incl. VAT,Amazon SA Ref Price,Your Price vs Amazon (SAR),Your Price vs Amazon (%),Amazon Ref URL,Amazon Ref Date,Lifecycle Status,Replacement SKU,Release Date,EOL Date,Warranty (months),Warranty Type,Return Policy Days
42,GC-SW-ACC1,,,Adobe Creative Cloud 1 Year,,,Gift Cards & Software Keys,Digital,New,أدوبي كرييتف كلاود,"<p>اشتراك Adobe Creative Cloud لمدة سنة يوفر لك الوصول إلى مجموعة شاملة من أقوى أدوات التحرير والتصميم.</p>

    <section>
        <h2><strong>لماذا هذا المنتج؟</strong></h2>
        <ul>
            ",,,,,,,Digital - No Shipping,Digital,,,,2499,1999,,,,,,15,Yes,,,,,,Mainstream,,,,,,14
43,GC-SW-KTS1,,,Kaspersky Total Security 1 Year,,,Gift Cards & Software Keys,Digital,New,كاسبرسكي,"<p>كاسبرسكاي توتال سيركيتيون لعام واحد لحماية جهازك من الفيروسات والتهديدات بشكل شامل.</p>

    <h2><strong>لماذا هذا المنتج؟</strong></h2>
    <ul>
        <li>حماية متقدمة ضد الفيروسات والبرامج الخب",,,,,,,Digital - No Shipping,Digital,,,,149,119,,,,,,15,Yes,,,,,,Mainstream,,,,,,14
44,GC-APL-100,,,Apple Gift Card $100,,,Gift Cards & Software Keys,Digital,New,بطاقة آبل,"<p>بطاقة هدية Apple بقيمة 100 دولار أميركي لشراء منتجات متعددة.</p>

    <h2><strong>لماذا هذا المنتج؟</strong></h2>
    <ul style=""direction: rtl;"">
        <li>توفير قيمة 100 دولار أميركي لشراء منتج",,,,,,,Digital - No Shipping,Digital,,,,389,,,,,,,15,Yes,,,,,,Mainstream,,,,,,14
45,GC-GP-50,,,Google Play $50 Gift Card,,,Gift Cards & Software Keys,Digital,New,بطاقة قوقل بلاي,"<p>تمنحك بطاقة Google Play بقيمة 50 دولار إمكانية الشراء من متجر التطبيقات والألعاب والأفلام والمزيد.</p>

    <h2><strong>لماذا هذا المنتج؟</strong></h2>
    <ul>
        <li>مثالي لشراء التطبيقات وا",,,,,,,Digital - No Shipping,Digital,,,,199,,,,,,,15,Yes,,,,,,Mainstream,,,,,,14
46,GC-NFX-100,,,Netflix Gift Card $100,,,Gift Cards & Software Keys,Digital,New,بطاقة نتفلكس,"<p>تمنح بطاقة هدية Netflix بقيمة 100 دولار إمكانية الوصول إلى خدمات الترفيه عبر الإنترنت من Netflix.</p>

    <strong>لماذا هذا المنتج؟</strong>
    <ul>
        <li>صالح لجميع الحسابات على Netflix.</",,,,,,,Digital - No Shipping,Digital,,,,389,,,,,,,15,Yes,,,,,,Mainstream,,,,,,14
47,GC-XBX-GPU3,,,Xbox Game Pass Ultimate 3 Months,,,Gift Cards & Software Keys,Digital,New,قيم باس,"<p>اشتراك Xbox Game Pass Ultimate لمدة 3 أشهر، يوفر لك مكتبة ضخمة من الألعاب بالإضافة إلى خدمة EA Play و Xbox Live Gold.</p>

    <h2><strong>لماذا هذا المنتج؟</strong></h2>
    <ul style=""direction: ",,,,,,,Digital - No Shipping,Digital,,,,179,149,,,,,,15,Yes,,,,,,Mainstream,,,,,,14
48,GC-STM-50,,,Steam Wallet $50 Gift Card,,,Gift Cards & Software Keys,Digital,New,بطاقة ستيم,"<p>بطاقة هدية Steam Wallet بقيمة 50 دولارًا، تتيح لك شراء الألعاب والتحديثات وعناصر متجر Steam.</p>

    <h2><strong>لماذا هذا المنتج؟</strong></h2>
    <ul style=""direction: ltr;"">
        <li>تسهيل ",,,,,,,Digital - No Shipping,Digital,,,,199,,,,,,,15,Yes,,,,,,Mainstream,,,,,,14
49,GC-PSN-50,,,PlayStation Store $50 Gift Card,,,Gift Cards & Software Keys,Digital,New,بطاقة بلايستيشن,"<p>استمتع بتجربة الألعاب الإلكترونية المذهلة عبر PlayStation Store ببطاقة هدية قيمتها 50 دولار.</p>

    <h2><strong>لماذا هذا المنتج؟</strong></h2>
    <ul style=""direction: rtl;"">
        <li>يسمح ب",,,,,,,Digital - No Shipping,Digital,,,,199,,,,,,,15,Yes,,,,,,Mainstream,,,,,,14
50,GC-SW-OFF24,,,Microsoft Office 2024 Pro Plus,,,Gift Cards & Software Keys,Digital,New,أوفيس 2024 برو,"<p>مفتاح تفعيل Microsoft Office 2024 Pro Plus، يشمل Word, Excel, PowerPoint, و Outlook.</p>

    <strong>لماذا هذا المنتج؟</strong>
    <ul>
        <li>يحتوي على أحدث إصدارات برامج Microsoft الرئيسية",,,,,,,Digital - No Shipping,Digital,,,,399,349,,,,,,15,Yes,,,,,,Mainstream,,,,,,14
51,GC-SW-WIN11,,,Windows 11 Pro License Key,,,Gift Cards & Software Keys,Digital,New,مفتاح ويندوز 11 برو,"<p>مفتاح تفعيل أصلي لنظام التشغيل Windows 11 Professional، متوفر فورًا عبر البريد الإلكتروني.</p>
    <section>
        <h3><strong>لماذا هذا المنتج؟</strong></h3>
        <ul>
            <li>دعم الن",,,,,,,Digital - No Shipping,Digital,,,,249,199,,,,,,15,Yes,,,,,,Mainstream,,,,,,14
